#,id,liczba_pasazerow,roznica_rek
1,2005703,2,455
2,2005706,1,300
3,2005690,1,35
4,2001113,1,150
5,2000347,1,400
6,2006187,2,250
7,2001167,1,75
8,35905,4,2100
9,2000264,2,600
10,54254,1,125
11,2000088,1,400
12,2000072,1,125
13,53830,1,100
14,2001252,1,50
15,2000506,2,600
16,2001298,1,400
17,2000899,1,50
18,2001114,1,100
19,2001503,1,26
20,2001504,1,99
21,2000349,1,125
22,2001517,1,50
23,2001175,1,50
24,47454,1,350
25,2001244,1,230
26,2001243,1,370
27,2000604,1,250
28,35973,1,63
29,51441,1,150
30,2001037,2,400
31,49967,2,700
32,30118,2,300
33,36901,2,250
34,2001211,1,50
35,36067,6,600
36,47393,2,400
37,43648,2,250
38,40987,2,250
39,40916,2,400
40,44177,4,250
41,41202,2,600
42,38751,4,400
43,34633,4,250
44,2001246,2,400
45,2001817,1,377.8
46,2001966,2,100
47,2001987,1,100.75
48,2001967,1,100
49,2002028,1,144.5
50,2002024,1,25
51,2002025,1,400
52,2002030,1,344
53,2002027,1,100
54,2002029,1,100
55,2002077,1,175
56,2002054,1,300
57,2002040,1,150
58,2002053,1,123.5
59,2002067,1,175
60,2002055,1,450
61,2002139,1,200
62,2002056,1,249.75
63,2002154,1,180
64,2002161,1,175
65,2002187,1,125
66,2002186,1,400
67,2002188,1,299.75
68,2002184,1,390
69,2002182,1,125
70,2002201,1,76.99
71,2002257,1,240
72,2002258,1,126
73,2002270,1,400
74,2002267,1,400
75,2002264,1,400
76,2002262,2,300
77,2002260,1,75
78,2002272,1,60
79,2002271,1,126
80,2002308,1,100
81,2002422,1,150
82,2002447,1,150
83,2002026,1,100
84,2003510,1,200
85,2003506,1,150
86,2003718,3,550
87,2004010,1,100
88,2004033,1,400
89,2002545,2,200
90,2004084,1,50
91,2004085,1,50
92,2004088,1,75
93,2004083,1,50
94,2004154,1,100
95,2004371,1,100
96,2004360,2,250
97,2004374,2,250
98,2004303,1,50
99,2004349,1,75
100,2004372,1,50
101,2004370,1,25
102,2004489,2,110
103,2005089,5,2400
104,2005107,2,50
105,2005091,5,600
106,2005110,2,250
107,2005112,2,250
108,2005111,2,250
109,2005109,3,300
110,2005115,3,450
111,2005116,2,250
112,2005105,2,125
113,2005119,2,125
114,2006052,2,250
115,2006096,1,80
116,2006345,2,600
117,29393,2,600
118,2004805,2,600
119,2006466,1,400
120,2006467,1,200
121,2011016,1,400
122,2011097,1,300
123,2011152,1,200
124,2010652,1,300
125,2000948,1,200
126,2009990,1,150
127,2008526,2,250
128,2010053,1,300
129,2010052,1,300
130,2012360,1,300
131,2007872,1,600
132,2037156,4,0.5
133,2037161,9,750
134,2037163,2,21
135,2037165,2,499
136,2037263,1,299
137,2037264,1,18.7
138,2013797,2,250
139,2037309,1,0.01
140,2004843,1,50
141,2005194,1,100
142,2104784,2,700
143,2101130,1,100
144,2097203,1,125
145,2097146,1,125
146,2054735,2,250
147,2097269,1,125
148,2097417,1,150
149,2097415,1,150
150,2101190,3,1200
151,2104793,1,125
152,2101170,1,125
153,2004032,1,200
154,2097438,1,125
155,2110658,1,125
156,2053648,2,250
157,2053792,2,250
158,2094058,1,125
159,2092124,1,125
160,2050739,2,250
161,2094083,1,125
162,2092231,1,125
163,2092264,1,125
164,2050852,2,250
165,2054571,2,250
166,2051061,2,250
167,2051118,2,250
168,2045536,2,250
169,2045661,2,250
170,2007873,1,0.03
171,2045680,2,250
172,2052403,1,300
173,2095085,1,125
174,2006055,1,300
175,2095241,1,125
176,48956,2,400
177,2004414,2,400
178,2095582,1,125
179,2095637,1,125
180,2045896,2,250
181,2009431,1,300
182,2045909,2,250
183,11849,3,450
184,19623,2,200
185,2006027,2,200
186,36647,2,300
187,2051373,2,250
188,16139,3,1600
189,2009429,1,300
190,2053343,2,250
191,2006346,2,250
192,36492,1,300
193,2052067,2,250
194,11192,2,600
195,2046032,2,250
196,2046290,2,250
197,2048865,2,250
198,2049007,2,250
199,2052263,2,250
200,2046451,2,250
201,2049206,2,250
202,2049216,2,250
203,2046635,2,250
204,2046645,2,250
205,2046655,2,250
206,2046850,2,250
207,2052477,2,250
208,2049401,2,250
209,2052509,2,250
210,2049702,2,250
211,2044622,2,250
212,2044603,1,125
213,2044676,2,250
214,2044759,2,250
215,2049867,2,250
216,2052791,2,250
217,2049882,2,250
218,2044941,2,250
219,2044946,1,100
220,2045182,1,100
221,2052567,1,23
222,2045352,2,250
223,2045469,2,250
224,2047842,2,250
225,2050010,2,250
226,2050024,2,250
227,2047860,2,250
228,2050044,2,250
229,2047922,2,250
230,2051358,2,250
231,2044604,2,250
232,2053872,2,250
233,2053805,2,250
234,2053672,2,250
235,2053691,2,250
236,2053708,2,250
237,2053947,2,125
238,2053984,2,250
239,2054221,2,250
240,2054367,2,250
241,2009445,1,125
242,2054530,2,250
243,2054542,2,250
244,2054553,2,250
245,2054590,2,250
246,2054672,1,139
247,53903,2,600
248,2000331,1,150
249,2000928,1,400
250,2000949,1,200
251,2000313,1,300
252,9858,1,300
253,18382,1,200
254,44006,2,1200
255,2001722,1,200
256,44087,2,500
257,2001700,1,50
258,40029,3,2400
259,2001770,1,400
260,41993,2,250
261,56248,4,900
262,39092,2,900
263,37332,2,600
264,2001698,1,75
265,43790,2,400
266,2000039,2,600
267,2001495,2,600
268,2001496,2,600
269,31851,2,250
270,2000018,2,250
271,55850,1,100
272,2002015,1,25
273,2002014,1,100
274,2001983,1,110
275,2001988,1,190.5
276,2002043,1,100
277,2002185,1,125
278,2002183,1,400
279,2002189,1,500
280,2003205,1,100
281,2003217,1,100
282,2004080,1,25
283,2004098,1,25
284,2004158,2,100
285,2000431,2,600
286,2004753,3,250
287,2005028,2,250
288,2005122,2,250
289,2005075,2,200
290,2005232,1,200
291,2011728,1,50
292,2011368,1,300
293,2011974,1,300
294,2012675,1,65
295,2013011,1,150
296,2037033,1,85
297,2037037,1,50
298,2013596,1,150
299,2005683,1,150
300,2005684,1,100
301,2005700,2,745
302,2003917,1,125
303,2003918,1,125
304,2003794,1,125
305,2003419,1,200
306,2104900,1,125
307,2101344,1,125
308,2101446,1,125
309,2097644,1,125
310,2101506,1,125
311,2101479,1,125
312,2101537,1,125
313,2104965,1,125
314,2101710,1,125
315,2108015,1,125
316,2098083,1,125
317,2108044,1,125
318,2102038,1,125
319,2102176,1,125
320,2098575,1,125
321,2098411,1,125
322,2098450,1,125
323,2102057,1,125
324,2102122,1,125
325,2102091,1,125
326,2098857,1,125
327,2098878,1,125
328,2102150,1,125
329,2108065,3,650
330,2110738,1,125
331,2068985,2,250
332,2102205,1,125
333,2098973,1,125
334,2105312,1,125
335,2102230,1,125
336,2099028,2,150
337,2110822,1,125
338,2102261,1,125
339,2099194,1,125
340,2105363,1,125
341,2105379,2,250
342,2122006,1,125
343,2099291,1,125
344,2105407,1,125
345,2099757,1,125
346,2094338,4,1200
347,2099813,1,125
348,2088599,1,350
349,2129615,1,125
350,2103030,1,125
351,2063825,2,250
352,2100188,1,125
353,2100279,1,250
354,2100389,1,125
355,2103059,1,125
356,2105681,1,125
357,54225,1,400
358,2108455,1,125
359,2108482,1,125
360,2100612,1,125
361,2100656,1,125
362,2103256,1,125
363,2042316,1,300
364,2122041,1,125
365,2108506,2,444
366,2105727,1,125
367,2108035,2,250
368,2100694,1,125
369,2103394,1,125
370,2100929,2,200
371,2100768,1,125
372,2108582,1,125
373,2103455,1,125
374,2075202,1,125
375,2087550,2,600
376,2114727,1,125
377,2105854,1,125
378,2103505,1,125
379,2105992,1,125
380,2103730,1,125
381,2114775,1,125
382,2103760,1,125
383,2111077,1,125
384,2106237,1,125
385,2103900,3,600
386,2103887,1,125
387,2108509,2,400
388,2122076,1,125
389,2104032,1,125
390,2142519,1,125
391,2106404,1,125
392,2111147,1,125
393,2104228,2,600
394,2105423,1,50
395,2104214,1,125
396,2106441,1,125
397,2063180,1,100
398,2125749,1,125
399,2106455,1,150
400,2111208,2,364
401,2106475,1,125
402,2106464,1,150
403,2104244,1,125
404,2106567,1,125
405,2111228,1,125
406,2114816,1,160
407,2111242,1,125
408,2106702,1,125
409,2104377,1,125
410,2106718,1,125
411,2106809,2,300
412,2059437,2,250
413,2114903,1,125
414,2109184,1,125
415,2109215,1,125
416,2067113,2,250
417,2106884,1,125
418,2106917,1,125
419,2106980,3,1050
420,2104524,1,125
421,2109248,1,125
422,2109276,1,125
423,2111348,1,125
424,2110996,2,250
425,2114950,1,125
426,2106981,2,350
427,2104744,1,125
428,2104638,1,125
429,2063696,1,350
430,2107021,1,125
431,2106991,1,125
432,2101137,3,1200
433,2104713,1,125
434,2107007,2,722
435,2114987,1,125
436,2104663,1,125
437,2104688,1,125
438,2107272,1,125
439,2107052,1,125
440,2104768,1,125
441,2096090,1,125
442,2109370,1,125
443,2107313,1,125
444,2107421,1,125
445,2107437,1,300
446,2110669,1,150
447,2107449,1,125
448,2118680,1,125
449,2107555,1,125
450,2107980,4,250
451,2109948,4,254.72
452,2070522,1,100
453,2107686,1,125
454,2111824,1,125
455,2107718,1,125
456,2110156,1,125
457,2073186,5,800
458,2068279,2,250
459,2073198,2,250
460,2111971,1,125
461,2110334,1,125
462,2108840,2,340
463,2107807,1,125
464,2115277,1,125
465,2115261,1,125
466,2118811,1,125
467,2115308,1,125
468,2110444,1,125
469,2136308,1,125
470,2110473,1,125
471,2110511,1,125
472,2112270,1,125
473,2112407,1,125
474,2149607,1,125
475,2118853,1,125
476,2118949,1,125
477,2112512,1,125
478,2112514,1,125
479,2112674,1,125
480,2112625,1,125
481,2112560,1,125
482,2112552,1,125
483,2115754,1,125
484,2112853,1,125
485,2112885,2,250
486,2115936,1,125
487,2115902,1,125
488,2125878,1,125
489,2113011,1,125
490,2113027,1,140
491,2113267,1,125
492,2119024,1,125
493,2119081,1,125
494,2116091,1,125
495,2113309,1,125
496,2113321,1,125
497,2113333,1,125
498,2113314,1,125
499,2113327,1,125
500,2113329,1,125
501,2113387,1,125
502,2084554,2,500
503,2113317,1,125
504,2113325,1,125
505,2113580,1,125
506,2119172,1,125
507,2113799,1,125
508,2119142,1,125
509,2114051,1,125
510,2114078,1,125
511,2116283,1,125
512,2125910,1,125
513,2114269,1,125
514,2114302,1,150
515,2119329,1,125
516,2114313,1,125
517,2114342,1,125
518,2076195,1,125
519,2114465,1,125
520,2116417,1,125
521,2119366,1,125
522,2116443,1,125
523,2119411,1,125
524,2119471,1,125
525,2119441,1,125
526,2116471,1,125
527,2072744,2,250
528,2125970,1,125
529,2119584,1,125
530,2116578,1,125
531,2119629,1,125
532,2116796,1,125
533,2122653,1,125
534,2119668,1,125
535,2122718,1,125
536,2122687,1,125
537,2119775,1,125
538,2116894,1,125
539,2119714,1,125
540,2119745,1,125
541,2117248,1,125
542,2126219,1,125
543,2117263,1,125
544,2126229,1,125
545,2117367,1,125
546,2120095,1,125
547,2117407,1,125
548,2120112,1,125
549,2126327,1,125
550,2122923,1,125
551,2126284,1,125
552,2120252,1,125
553,2117639,1,125
554,2130051,1,125
555,2130023,1,125
556,2120309,1,125
557,2082382,1,125
558,2120365,1,150
559,2123287,1,125
560,2123329,1,125
561,2117783,1,125
562,2117966,1,125
563,2120366,1,100
564,2126364,1,125
565,2123448,1,125
566,2082678,1,125
567,2126467,1,125
568,2123537,1,125
569,2123581,1,125
570,2123516,1,125
571,2120865,1,125
572,2080913,1,125
573,2123497,1,125
574,2126799,1,125
575,2120827,1,125
576,2126726,1,125
577,2123620,1,125
578,2086013,1,125
579,2123678,1,125
580,2126886,1,125
581,2121206,1,125
582,2123710,1,125
583,2123742,1,125
584,2121401,1,125
585,2123775,1,125
586,2123805,1,125
587,2089525,1,125
588,2121582,1,125
589,2121621,1,125
590,2123923,1,125
591,2089556,1,125
592,2126970,1,125
593,2121828,1,125
594,2096276,1,125
595,2121964,1,125
596,2124028,1,125
597,2083729,1,125
598,2124068,1,125
599,2124359,1,125
600,2127203,1,125
601,2124326,1,125
602,2124449,1,125
603,2130310,1,125
604,2124387,1,125
605,2127347,1,125
606,2124426,1,125
607,2142628,1,125
608,2130535,1,125
609,2133761,1,125
610,2124650,1,125
611,2127448,1,125
612,2124553,1,125
613,2124619,1,125
614,2125697,1,125
615,2124680,1,125
616,2124705,1,125
617,2130708,1,125
618,2133912,1,125
619,2133948,1,125
620,2127641,1,125
621,2124761,1,125
622,2127686,1,125
623,2124835,1,125
624,2125094,1,125
625,2130903,1,125
626,2130998,1,125
627,2131086,1,125
628,2127992,1,125
629,2125152,1,125
630,2125173,1,125
631,2131061,1,125
632,2125208,1,125
633,2131113,1,125
634,2125424,1,50
635,2128064,1,125
636,2125603,1,125
637,2131229,1,125
638,2090464,1,125
639,2131161,1,125
640,2131203,1,125
641,2128293,1,125
642,2136615,1,125
643,2134231,1,125
644,2131823,1,125
645,2131863,1,125
646,2128397,1,125
647,2090683,1,125
648,2090725,1,125
649,2134261,1,125
650,2128429,1,125
651,2136740,1,125
652,2128497,1,125
653,2132012,1,125
654,2088586,1,125
655,2128518,1,125
656,2145725,1,125
657,2088609,1,125
658,2139571,1,125
659,2132324,1,125
660,2134497,1,125
661,2128683,1,125
662,2128659,1,125
663,2091097,1,125
664,2087695,1,125
665,2087735,1,125
666,2129169,1,125
667,2093312,1,125
668,2129269,1,125
669,2129077,1,125
670,2136863,1,125
671,2132582,1,125
672,2048230,2,100
673,2048244,2,250
674,2129340,1,125
675,2132604,1,125
676,2132641,1,125
677,2129476,1,125
678,2134829,1,125
679,2129370,1,125
680,2129558,1,125
681,2129574,1,125
682,2129523,1,125
683,2145762,1,125
684,2132989,1,125
685,2142771,1,125
686,2096964,1,125
687,2134994,1,125
688,2097037,1,125
689,2135255,1,125
690,2135143,1,125
691,2142808,1,125
692,2097051,1,350
693,2139875,1,125
694,2094008,1,125
695,2137369,1,125
696,2139923,1,125
697,2048484,2,250
698,2135792,1,125
699,2149799,1,125
700,2054690,2,250
701,2054756,2,250
702,2135843,1,125
703,2135976,1,125
704,2136097,1,100
705,2054822,2,250
706,2136096,1,125
707,2142921,1,125
708,2137804,1,125
709,2143201,1,125
710,2054865,2,250
711,2138041,1,20
712,2140038,1,125
713,2137931,1,125
714,2143040,1,125
715,2143169,1,125
716,2138037,1,125
717,2138000,2,270
718,2143165,1,125
719,2137965,1,125
720,2137998,1,125
721,2140085,1,125
722,2060668,2,250
723,2054852,2,250
724,2143167,1,125
725,2054922,2,250
726,2143149,1,150
727,2057645,1,300
728,2143237,1,125
729,2057654,2,250
730,2146066,1,125
731,2143278,1,125
732,2138991,1,125
733,2143353,1,125
734,2143317,1,125
735,2139166,1,125
736,2140697,1,125
737,2146232,1,125
738,2055079,2,250
739,2054989,2,250
740,2053771,2,250
741,2143399,1,125
742,2143484,1,125
743,2060813,2,250
744,2140734,1,125
745,2060818,2,250
746,2140923,1,125
747,2057772,2,250
748,2143541,1,125
749,2143567,1,97
750,2055087,2,250
751,2143637,1,125
752,2141053,1,125
753,2141008,1,125
754,2141122,1,125
755,2141204,1,125
756,2149988,1,125
757,2055098,2,250
758,2141163,1,125
759,2146358,1,125
760,2143644,1,30
761,2150009,1,125
762,2053657,2,250
763,2141279,1,125
764,2146581,1,125
765,2146762,1,125
766,2055152,2,250
767,2141331,1,125
768,2143794,1,125
769,2141407,1,125
770,2143815,1,125
771,2156561,1,125
772,2143872,1,125
773,2141495,1,125
774,2146848,1,125
775,2141703,1,125
776,2153540,1,125
777,2146960,1,125
778,2143940,1,125
779,2141927,1,125
780,2147173,1,125
781,2147024,1,125
782,2055472,2,250
783,2147140,1,125
784,2147285,1,125
785,2142074,1,125
786,2144157,1,125
787,2144068,1,125
788,2147331,1,125
789,2142147,1,125
790,2150327,1,125
791,2142189,1,125
792,2142318,1,125
793,2142384,1,125
794,2142420,1,125
795,2144282,1,125
796,2060931,2,250
797,2144360,1,125
798,2144332,1,125
799,2147552,1,125
800,2156644,1,125
801,2150652,1,125
802,2150408,1,125
803,2147607,1,125
804,2144400,1,125
805,2144412,1,249
806,2143575,1,11
807,2147892,1,125
808,2147767,1,125
809,2144513,1,125
810,2058084,2,250
811,2147854,1,125
812,2147815,1,125
813,2144557,1,125
814,2150768,1,125
815,2147931,1,125
816,2150841,1,125
817,2148221,1,125
818,2145096,1,125
819,2145082,1,150
820,2151091,1,125
821,2151059,1,125
822,2154243,1,125
823,2055668,2,250
824,2151161,1,125
825,2145176,1,150
826,2145146,1,150
827,2148598,1,125
828,2145154,1,125
829,2151202,1,125
830,2150600,4,600
831,2148681,1,125
832,2145292,1,125
833,2055815,2,250
834,2066178,2,250
835,2061010,2,250
836,2055980,2,250
837,2145456,1,125
838,2055971,2,250
839,2058284,2,250
840,2056022,2,250
841,2154426,1,125
842,2149400,1,125
843,2149285,1,125
844,2056036,2,250
845,2149305,1,300
846,2151692,1,125
847,2151649,1,125
848,2151731,1,125
849,2154608,1,125
850,2154573,1,125
851,2156947,1,125
852,2058501,2,250
853,2154780,1,125
854,2157086,1,125
855,2154817,1,125
856,2056707,2,250
857,2152141,1,125
858,2061324,2,250
859,2061302,2,250
860,2157270,1,125
861,2059070,2,250
862,2056833,2,250
863,2152202,1,125
864,2061369,2,250
865,2056852,2,250
866,2063620,1,100
867,2155288,1,125
868,2059118,2,250
869,2061397,2,250
870,2057206,2,250
871,2152430,1,125
872,2152555,1,125
873,2157307,1,125
874,2057281,2,250
875,2063292,2,250
876,2061406,2,250
877,2059438,2,250
878,2059360,2,250
879,2061418,2,250
880,2059420,2,250
881,2059456,2,250
882,2157349,1,125
883,2063747,2,250
884,2059523,2,250
885,2066433,2,250
886,2061543,2,250
887,2063805,2,250
888,2059532,2,250
889,2061565,2,250
890,2059585,2,250
891,2059900,2,250
892,2085369,1,125
893,2081627,1,125
894,2059236,1,125
895,2061788,2,250
896,2061801,2,250
897,2157435,1,125
898,2155651,1,125
899,2060492,2,250
900,2061962,1,250
901,2061920,2,250
902,2064117,2,250
903,2062104,2,250
904,2060520,2,250
905,2064131,2,250
906,2061674,2,700
907,2064145,2,250
908,2064151,2,250
909,2064226,1,150
910,2062316,2,250
911,2066761,2,500
912,2062513,2,250
913,2064300,2,250
914,2066769,2,250
915,2066772,2,250
916,2062585,2,250
917,2064491,2,250
918,2062647,2,250
919,2064575,2,250
920,2155854,1,125
921,2064700,2,250
922,2066870,2,250
923,2066935,2,250
924,2062896,2,250
925,2064772,2,250
926,2062916,2,250
927,2066965,2,250
928,2156146,1,125
929,2067029,2,250
930,2069611,2,250
931,2072814,2,250
932,2065206,2,250
933,2065230,3,500
934,2069620,2,250
935,2065288,1,125
936,2069801,2,250
937,2072831,2,250
938,2065301,2,250
939,2069747,2,250
940,2067122,2,250
941,2067133,2,250
942,2065313,2,250
943,2069917,2,250
944,2065324,2,250
945,2065332,2,250
946,2061967,1,350
947,2065343,2,250
948,2067204,2,250
949,2065423,1,350
950,2065437,2,250
951,2156188,1,125
952,2157834,1,125
953,2072976,2,250
954,2071359,2,600
955,2065663,2,250
956,2065648,2,250
957,2070136,2,250
958,2073015,2,250
959,2067490,2,250
960,2067507,2,250
961,2065738,2,250
962,2065843,2,250
963,2075462,1,125
964,2075526,1,125
965,2070528,2,250
966,2067985,2,250
967,2068079,2,250
968,2070629,2,250
969,2073179,2,250
970,2073170,2,250
971,2068093,2,250
972,2068291,2,250
973,2068588,3,550
974,2068594,2,250
975,2073311,2,250
976,2071125,2,250
977,2068721,2,250
978,2068813,2,250
979,2073336,2,250
980,2073363,2,250
981,2075797,1,125
982,2073345,2,250
983,2075805,1,125
984,2073531,2,250
985,2075815,1,125
986,2081823,1,125
987,2156463,1,125
988,2158120,1,125
989,2073545,5,800
990,2158135,8,112
991,2075825,1,125
992,2073553,2,250
993,2158266,1,125
994,2158393,1,125
995,2071637,2,250
996,2073629,2,250
997,2078511,1,200
998,2075856,1,50
999,2071842,2,250
1000,2073639,2,250
1001,2071852,2,250
1002,2085496,1,125
1003,2073652,2,250
1004,2078573,1,125
1005,2078669,2,250
1006,2075935,1,125
1007,2078658,1,125
1008,2075946,1,125
1009,2072338,2,250
1010,2072369,2,250
1011,2072297,2,250
1012,2073852,2,250
1013,2081911,1,125
1014,2076038,1,125
1015,2073866,2,250
1016,2073875,2,250
1017,2072566,2,250
1018,2076075,1,125
1019,2081946,1,125
1020,2078813,1,125
1021,2074074,2,250
1022,2076164,1,125
1023,2074187,1,125
1024,2079009,1,125
1025,2076179,1,125
1026,2074265,1,125
1027,2079042,1,125
1028,2076200,1,125
1029,2079249,1,125
1030,2079217,1,125
1031,2076212,1,125
1032,2076292,1,125
1033,2074292,1,125
1034,2076220,2,100
1035,2082186,1,125
1036,2079286,1,125
1037,2082300,1,125
1038,2074306,1,125
1039,2082203,1,125
1040,2071353,1,300
1041,2074500,1,125
1042,2079352,1,125
1043,2074639,1,125
1044,2076517,1,125
1045,2076538,1,125
1046,2074692,1,125
1047,2076509,1,125
1048,2076548,1,125
1049,2076583,1,125
1050,2076528,1,125
1051,2076563,1,125
1052,2085704,1,125
1053,2074727,1,125
1054,2082313,1,125
1055,2076593,1,125
1056,2076614,1,125
1057,2079762,1,125
1058,2074794,1,125
1059,2076820,1,125
1060,2074832,1,125
1061,2092473,1,125
1062,2082327,1,125
1063,2074848,1,125
1064,2082343,1,125
1065,2074857,1,125
1066,2074983,1,125
1067,2075106,1,125
1068,2077581,1,125
1069,2077518,1,125
1070,2077605,1,125
1071,2077590,1,125
1072,2080136,1,125
1073,2085812,1,125
1074,2080281,1,125
1075,2080148,1,125
1076,2080602,1,125
1077,2080704,1,125
1078,2080833,1,125
1079,2082728,1,125
1080,2080901,1,125
1081,2080871,1,125
1082,2082764,1,125
1083,2082894,1,125
1084,2080955,1,125
1085,2089395,1,125
1086,2081178,1,125
1087,2083188,1,125
1088,2081447,1,125
1089,2092587,1,125
1090,2081517,1,125
1091,2089653,1,125
1092,2083264,1,125
1093,2092608,1,125
1094,2086595,1,125
1095,2083427,1,125
1096,2048051,2,250
1097,2086547,1,125
1098,2083547,1,125
1099,2086718,1,125
1100,2086733,1,125
1101,2084249,1,125
1102,2086807,1,125
1103,2084291,1,125
1104,2083854,1,125
1105,2086837,1,125
1106,2083876,1,125
1107,2084500,3,490
1108,2084502,2,250
1109,2084499,2,250
1110,2092697,1,125
1111,2086896,1,125
1112,2084724,1,125
1113,2089971,1,125
1114,2044597,1,125
1115,2084878,1,125
1116,2087080,1,125
1117,2087132,1,125
1118,2085108,1,125
1119,2096363,1,125
1120,2044734,2,250
1121,2087192,1,125
1122,2092837,1,125
1123,2087419,1,125
1124,2092865,1,125
1125,2096470,1,125
1126,2049930,2,250
1127,2087698,1,125
1128,2087688,1,125
1129,2087855,1,125
1130,2090647,1,125
1131,2092996,1,125
1132,2096540,1,125
1133,2092600,1,50
1134,2090663,1,125
1135,2096593,1,125
1136,2090703,1,125
1137,2088256,1,125
1138,2096616,1,125
1139,2088294,1,125
1140,2090802,1,125
1141,2093122,1,125
1142,2048232,2,250
1143,2055030,2,400
1144,2090852,1,125
1145,2059791,3,325
1146,2048028,2,250
1147,2093165,1,125
1148,2048315,2,250
1149,2048036,2,250
1150,2048068,2,250
1151,2088965,1,125
1152,2048189,2,250
1153,2048203,2,250
1154,2091188,1,125
1155,2048270,2,250
1156,2091318,1,125
1157,2048222,2,250
1158,2050496,2,250
1159,2051243,2,250
1160,33297,2,1200
1161,2050601,2,250
1162,2093740,1,125
1163,2091665,1,125
1164,2096996,1,125
1165,2045670,2,250
1166,2095197,1,125
1167,2095334,1,125
1168,2095463,1,125
1169,2095742,1,125
1170,29332,2,250
1171,55116,2,600
1172,2045075,2,250
1173,2053774,2,250
1174,2048736,2,250
1175,2048958,2,250
1176,2048913,2,250
1177,2046340,2,250
1178,2041209,2,250
1179,2052466,2,250
1180,2046665,2,250
1181,2047019,2,250
1182,2044624,2,250
1183,2044620,2,250
1184,2044627,2,250
1185,2044683,2,250
1186,2044630,2,250
1187,2094603,1,125
1188,2100904,1,125
1189,2037259,1,1
1190,2101144,1,125
1191,2053527,2,250
1192,2001251,1,200
